tpr,fpr,prec,acc,f1,age: eod,age: aod,Favor,Preprocessing
81 (9),15 (6),80 (10),83 (4),81 (7),-10 (18),-11 (12),None,None
80 (10),15 (7),81 (7),83 (5),81 (5),-3 (12),0 (12),None,FairBalanceClass
78 (5),16 (7),79 (7),80 (5),77 (5),4 (16),4 (10),Young (0.1),FairBalanceClass
77 (7),14 (7),82 (10),82 (5),79 (5),0 (15),-3 (11),Old (0.1),FairBalanceClass
78 (7),20 (8),78 (7),80 (5),77 (7),7 (11),8 (10),Young (0.2),FairBalanceClass
77 (5),14 (6),82 (10),82 (4),79 (6),-5 (14),-10 (11),Old (0.2),FairBalanceClass
79 (7),22 (8),74 (8),78 (5),76 (5),17 (15),15 (11),Young (0.3),FairBalanceClass
76 (9),15 (7),81 (7),81 (5),78 (5),-10 (16),-12 (12),Old (0.3),FairBalanceClass
77 (11),21 (7),74 (8),77 (7),75 (8),18 (24),16 (15),Young (0.4),FairBalanceClass
76 (9),14 (6),80 (7),81 (5),79 (7),-12 (15),-15 (14),Old (0.4),FairBalanceClass
